Tristeza;Alegria;Medo;Aversao;Raiva;Pontuacao;Resumo;Densidade semântica 1: ;Dificuldade 1:;Densidade semântica 2:;Dificuldade 2:
;0.525;;;;0.525;1;1;2;2;2
;0.5208333333333334;;;;0.5208333333333334;1;1;2;2;2
;0.6125;;;;0.6125;1;1;2;2;2
;1.0;;;;1.0;1;1;2;2;2
;1.0;;;;1.0;1;1;2;2;2
;1.0;;;;1.0;1;1;2;2;2
;0.65625;;;;0.65625;1;1;2;2;2
;0.625;;;;0.625;1;1;2;2;2
;0.9375;;;;0.9375;1;1;2;2;2
1.0;;0.525;0.525;0.525;-1.0;-1;1;2;2;2
;0.4375;;;;0.4375;1;1;2;2;2
;0.9166666666666666;;;;0.9166666666666666;1;1;2;2;2
;0.7416666666666667;;;;0.7416666666666667;1;1;2;2;2
;0.7875;;;;0.7875;1;1;2;2;2
;;;;;;;1;2;2;2
;;;;;;;1;2;2;2
0.1455;0.515;0.1455;;0.1455;0.2725;;1;2;2;2
;0.625;;;;0.625;1;1;2;2;2
;0.65625;;;;0.65625;1;1;2;2;2
0.525;;;;0.7875;-0.7875;-1;1;2;2;2
;0.9875;;;;0.9875;1;5;4;5;4
;;;;;;;5;4;5;4
;0.525;;;;0.525;1;5;4;5;4
;0.5;;;;0.5;1;5;4;5;4
;0.2625;;;;0.2625;1;5;4;5;4
0.17083333333333334;0.43555555555555553;;;;0.3616666666666667;;3;1;3;2
;1.0;;;;1.0;1;3;1;3;2
;0.6770833333333334;;;;0.6770833333333334;1;3;1;3;2
;0.9734375;;;;0.9734375;1;3;1;3;2
;;;;;;;3;1;3;2
;;;;;;;3;1;3;2
;0.80625;;;;0.80625;1;3;1;3;2
;0.8979166666666667;;;;0.8979166666666667;1;3;1;3;2
;;;;;;;3;1;3;2
;0.525;;;;0.525;1;3;1;3;2
;;;;;;;3;1;3;2
;1.0;;;;1.0;1;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
;0.65625;;;;0.65625;1;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
;0.39375;;;;0.39375;1;3;2;3;3
0.175;0.3675;;0.35;;0.0175;;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
;0.91875;;;;0.91875;1;3;2;3;3
0.25;0.15;;;0.5;-0.25;;3;2;3;3
;0.25;;;;0.25;1;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
0.21;0.6;0.21;;0.21;0.39;;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
;;;;;;;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
;0.34375;;;;0.34375;1;3;2;3;3
;1.0;;;;1.0;1;3;2;3;3
0.145;0.45208333333333334;;;0.145;0.21041666666666667;;3;2;3;3
;0.7875;;;;0.7875;1;3;2;3;3
;;;;;;;4;3;3;3
0.15;0.7166666666666667;;0.15;0.15;0.6333333333333333;1;4;3;3;3
;0.2625;;;;0.2625;1;4;3;3;3
;0.8575;;;;0.8575;1;4;3;3;3
;0.2625;;;;0.2625;1;4;3;3;3
;0.7875;;;;0.7875;1;4;3;3;3
;0.525;;;;0.525;1;4;3;3;3
0.2175;0.5222222222222223;;0.2175;0.2175;0.4013888888888889;1;4;3;3;3
;;;;;;;4;3;3;3
;0.525;;;;0.525;1;4;3;3;3
;1.0;;;;1.0;1;4;3;3;3
;1.0;;;;1.0;1;4;3;3;3
;0.75;;;;0.75;1;4;3;3;3
;1.0;;;;1.0;1;4;3;3;3
;0.9625;;;;0.9625;1;4;3;3;3
;1.0;;;;1.0;1;4;3;3;3
;1.0;;;;1.0;1;4;3;3;3
;0.7875;;;;0.7875;1;4;3;3;3
;1.0;;;;1.0;1;4;3;3;3
;0.9375;;;;0.9375;1;4;3;3;3
;0.7875;;;;0.7875;1;2;3;3;2
;1.0;;;;1.0;1;2;3;3;2
;;;;;;;2;3;3;2
;;;;;;;2;3;3;2
0.525;;;;;-0.525;-1;2;3;3;2
;;;;;;;2;3;3;2
;0.46875;;;;0.46875;1;2;3;3;2
0.525;;;;;-0.525;-1;2;3;3;2
;;;;;;;2;3;3;2
;1.0;;;;1.0;1;2;3;3;2
;0.39375;;;;0.39375;1;2;3;3;2
;0.5;;;;0.5;1;2;3;3;2
;1.0;;;;1.0;1;2;3;3;2
;;;;;;;2;3;3;2
;1.0;;;;1.0;1;2;3;3;2
;0.7875;;;;0.7875;1;2;3;3;2
;;;;;;;2;3;3;2
;0.44375;;;;0.44375;1;2;3;3;2
;0.2625;;;;0.2625;1;2;3;3;2
;;;;;;;2;3;3;2
;0.63;;;;0.63;1;4;3;2;2
;0.525;;;;0.525;1;4;3;2;2
;0.525;;;;0.525;1;4;3;2;2
;1.0;;;;1.0;1;4;3;2;2
;0.7875;;;;0.7875;1;4;3;2;2
;0.7;;;;0.7;1;4;3;2;2
;0.7875;;;;0.7875;1;4;3;2;2
;0.7291666666666666;;;;0.7291666666666666;1;4;3;2;2
;;;;;;;4;3;2;2
;1.0;;;;1.0;1;4;3;2;2
;0.7875;;;;0.7875;1;4;3;2;2
;0.6791666666666667;;;;0.6791666666666667;1;4;3;2;2
;1.0;;;;1.0;1;4;3;2;2
;1.0;;;;1.0;1;4;3;2;2
;1.0;;;;1.0;1;4;3;2;2
;0.2625;;;;0.2625;1;4;3;2;2
0.175;0.35;;0.35;0.175;;;4;3;2;2
0.7875;;;;;-0.7875;-1;4;3;2;2
;1.0;;;;1.0;1;4;3;2;2
;;;;;;;4;3;2;2
;;;;;;;3;3;3;3
0.953125;0.1425;;;;-0.821875;-1;1;2;1;2
;0.74375;;;;0.74375;1;1;2;1;2
;1.0;;;;1.0;1;1;2;1;2
;0.39375;;;;0.39375;1;1;2;1;2
;0.4375;;;;0.4375;1;1;2;1;2
;1.0;;;;1.0;1;1;2;1;2
;0.525;;;;0.525;1;1;2;1;2
;;;;;;;1;2;1;2
;0.9625;;;;0.9625;1;1;2;1;2
;;;;;;;1;2;1;2
;;;;;;;1;2;1;2
;0.64375;;;;0.64375;1;1;2;1;2
;;;;;;;1;2;1;2
;;;;;;;1;2;1;2
;;;;;;;1;2;1;2
;1.0;;;;1.0;1;1;2;1;2
;0.525;;;;0.525;1;1;2;1;2
;;;;;;;1;2;1;2
;1.0;;;;1.0;1;1;2;1;2
;0.56875;;;;0.56875;1;1;2;1;2
;0.8625;;;;0.8625;1;1;3;3;3
;0.7875;;;;0.7875;1;1;3;3;3
;0.75;;;;0.75;1;1;3;3;3
;0.7;;;;0.7;1;1;3;3;3
;;;;;;;1;3;3;3
;0.39375;;;;0.39375;1;1;3;3;3
;0.2625;;;;0.2625;1;1;3;3;3
;1.0;;;;1.0;1;1;3;3;3
0.2625;;0.2625;;0.2625;-0.2625;-1;1;3;3;3
;;;;;;;1;3;3;3
0.3575;0.3925;0.2;;;0.07;;1;3;3;3
;;;;;;;1;3;3;3
;0.525;;;;0.525;1;1;3;3;3
;0.48125;;;;0.48125;1;1;3;3;3
;0.6875;;;;0.6875;1;1;3;3;3
;0.2625;;;;0.2625;1;1;3;3;3
;1.0;;;;1.0;1;1;3;3;3
;1.0;;;;1.0;1;1;3;3;3
;0.525;;;;0.525;1;1;3;3;3
;0.7875;;;;0.7875;1;1;3;3;3
;1.0;;;;1.0;1;2;3;3;3
;1.0;;;;1.0;1;2;3;3;3
;0.6125;;;;0.6125;1;2;3;3;3
;;;;;;;2;3;3;3
;1.0;;;;1.0;1;2;3;3;3
;1.0;;;;1.0;1;2;3;3;3
;0.525;;;;0.525;1;2;3;3;3
0.375;0.3;;;0.375;-0.125;-1;2;3;3;3
;1.0;;;;1.0;1;2;3;3;3
;1.0;;;;1.0;1;2;3;3;3
0.4666666666666667;0.30333333333333334;;;;0.14;;2;3;3;3
;0.625;;;;0.625;1;2;3;3;3
1.0;;0.7875;0.525;0.2625;-1.0;-1;2;3;3;3
;1.0;;;;1.0;1;2;3;3;3
;0.75625;;;;0.75625;1;2;3;3;3
;0.525;;;;0.525;1;2;3;3;3
;0.525;;;;0.525;1;2;3;3;3
;0.625;;;;0.625;1;2;3;3;3
;0.525;;;;0.525;1;2;3;3;3
;1.0;;;;1.0;1;2;3;3;3
;;;;;;;5;3;4;3
;1.0;;;;1.0;1;5;3;4;3
;1.0;;;;1.0;1;5;3;4;3
0.21;0.8333333333333334;;;;0.6233333333333333;;5;3;4;3
;;;;;;;5;3;4;3
;0.75;;;;0.75;1;5;3;4;3
;0.2625;;;;0.2625;1;5;3;4;3
;;;;;;;5;3;4;3
;1.0;;;;1.0;1;5;3;4;3
;0.2625;;;;0.2625;1;5;3;4;3
;0.8875;;;;0.8875;1;5;3;4;3
0.29;1.0;0.145;0.145;0.145;1.0;1;5;3;4;3
;;;;;;;5;3;4;3
;0.525;;;;0.525;1;5;3;4;3
0.42;0.24;;;;-0.18;;5;3;4;3
;0.25;;;;0.25;1;5;3;4;3
;0.39375;;;;0.39375;1;5;3;4;3
0.525;;;;;-0.525;-1;5;3;4;3
;1.0;;;;1.0;1;5;3;4;3
;0.459375;;;;0.459375;1;5;3;4;3
;1.0;;;;1.0;1;2;3;4;4
;0.525;;;;0.525;1;1;2;2;1
;0.8333333333333334;;;;0.8333333333333334;1;1;2;2;1
0.9375;;0.9375;0.625;0.3125;-0.9375;-1;1;2;2;1
;;;;;;;1;2;2;1
;0.625;;;;0.625;1;1;2;2;1
;;;;;;;1;2;2;1
1.0;;;;1.0;-1.0;-1;1;2;2;1
;0.625;;;;0.625;1;1;2;2;1
;0.74375;;;;0.74375;1;1;2;2;1
;0.2625;;;;0.2625;1;1;2;2;1
;1.0;;;;1.0;1;1;2;2;1
;;;;;;;1;2;2;1
;;;;;;;1;2;2;1
;0.625;;;;0.625;1;1;2;2;1
;1.0;;;;1.0;1;1;2;2;1
;0.39375;;;;0.39375;1;1;2;2;1
0.145;0.3875;;;;0.14583333333333334;;1;2;2;1
0.2625;;;;;-0.2625;-1;1;2;2;1
;;;;;;;1;2;2;1
;0.525;;;;0.525;1;1;2;2;1
;0.875;;;;0.875;1;3;3;3;3
;0.625;;;;0.625;1;3;3;3;3
;0.4375;;;;0.4375;1;3;3;3;3
;1.0;;;;1.0;1;3;3;3;3
;0.975;;;;0.975;1;3;3;3;3
;0.4;;;;0.4;1;3;3;3;3
0.15;0.5;;0.3;;0.5;1;3;3;3;3
;0.7875;;;;0.7875;1;3;3;3;3
;0.78125;;;;0.78125;1;3;3;3;3
;0.7770833333333333;;;;0.7770833333333333;1;3;3;3;3
;0.625;;;;0.625;1;3;3;3;3
;0.625;;;;0.625;1;3;3;3;3
;0.946875;;;;0.946875;1;3;3;3;3
;1.0;;;;1.0;1;3;3;3;3
0.42;0.42;;;;;;3;3;3;3
0.2625;;;0.525;;-0.525;-1;3;3;3;3
0.348;0.6768;0.232;0.232;0.232;0.3288;;3;3;3;3
;0.9875;;;;0.9875;1;3;3;3;3
0.20833333333333334;0.56;;;;0.3516666666666667;;3;3;3;3
;1.0;;;;1.0;1;3;3;3;3
;0.7875;;;;0.7875;1;3;2;4;3
;0.825;;;;0.825;1;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;0.625;;;;0.625;1;3;2;4;3
0.21;0.42;0.21;;0.21;0.21;;3;2;4;3
;;;;;;;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;0.525;;;;0.525;1;3;2;4;3
0.28875;0.5619791666666667;;;;0.08072916666666667;;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;0.375;;;;0.375;1;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;0.7875;;;;0.7875;1;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;0.525;;;;0.525;1;3;2;4;3
;0.525;;;;0.525;1;3;2;4;3
0.7875;;;;;-0.7875;-1;3;2;4;3
;0.525;;;;0.525;1;3;2;4;3
;0.8875;;;;0.8875;1;3;2;4;3
;0.9375;;;;0.9375;1;3;2;4;3
;;;;;;;3;2;4;3
0.15;0.7166666666666667;;0.15;0.15;0.6333333333333333;1;3;2;4;3
;0.2625;;;;0.2625;1;3;2;4;3
;0.8575;;;;0.8575;1;3;2;4;3
;0.2625;;;;0.2625;1;3;2;4;3
;0.7875;;;;0.7875;1;3;2;4;3
;0.525;;;;0.525;1;3;2;4;3
0.2175;0.5222222222222223;;0.2175;0.2175;0.4013888888888889;1;3;2;4;3
;;;;;;;3;2;4;3
;0.525;;;;0.525;1;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;0.75;;;;0.75;1;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;0.9625;;;;0.9625;1;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;0.7875;;;;0.7875;1;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;0.9375;;;;0.9375;1;3;2;4;3
;1.0;;;;1.0;1;4;2;3;4
;1.0;;;;1.0;1;4;2;3;4
;0.525;;;;0.525;1;4;2;3;4
;;;;;;;4;2;3;4
;;;;;;;4;2;3;4
;0.7875;;;;0.7875;1;4;2;3;4
;0.4653409090909091;;;;0.4653409090909091;1;4;2;3;4
;1.0;;;;1.0;1;4;2;3;4
;0.2625;;;;0.2625;1;4;2;3;4
;0.2625;;;;0.2625;1;4;2;3;4
;0.525;;;;0.525;1;4;2;3;4
;0.84125;;;;0.84125;1;4;2;3;4
;1.0;;;;1.0;1;4;2;3;4
;0.909375;;;;0.909375;1;4;2;3;4
;0.525;;;;0.525;1;4;2;3;4
;0.525;;;;0.525;1;4;2;3;4
;1.0;;;;1.0;1;4;2;3;4
;1.0;;;;1.0;1;4;2;3;4
;;;;;;;4;2;3;4
;;;;;;;4;2;3;4
0.145;0.5208333333333334;;;0.145;0.4;1;2;3;2;2
;0.525;;;;0.525;1;2;3;2;2
;0.7875;;;;0.7875;1;2;3;2;2
;1.0;;;;1.0;1;2;3;2;2
;0.525;;;;0.525;1;2;3;2;2
;0.75;;;;0.75;1;4;2;3;2
;0.7;;;;0.7;1;4;2;3;2
;0.48125;;;;0.48125;1;4;2;3;2
;0.70625;;;;0.70625;1;4;2;3;2
;1.0;;;;1.0;1;4;2;3;2
;1.0;;;;1.0;1;4;2;3;2
;;;;;;;4;2;3;2
;;;;;;;4;2;3;2
;0.525;;;;0.525;1;4;2;3;2
;0.525;;;;0.525;1;4;2;3;2
;1.0;;;;1.0;1;4;2;3;2
;0.525;;;;0.525;1;4;2;3;2
0.4;0.39;;;;0.38;;4;2;3;2
;1.0;;;;1.0;1;4;2;3;2
;0.2625;;;;0.2625;1;4;2;3;2
0.3325;0.29483333333333334;0.3325;0.3325;0.249375;-0.03766666666666667;;4;2;3;2
;0.375;;;;0.375;1;4;2;3;2
0.65625;;0.39375;0.525;0.525;-0.65625;-1;4;2;3;2
;0.5308712121212121;;;;0.5308712121212121;1;4;2;3;2
0.576;0.455;0.192;0.384;0.384;0.334;;4;2;3;2
;0.6;;;;0.6;1;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;0.30625;;;;0.30625;1;3;2;4;3
;0.91875;;;;0.91875;1;3;2;4;3
;;;;;;;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;;;;;;;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;;;;;;;3;2;4;3
;;;;;;;3;2;4;3
;0.91875;;;;0.91875;1;3;2;4;3
;0.475;;;;0.475;1;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;1.0;;;;1.0;1;3;2;4;3
;0.675;;;;0.675;1;3;2;4;3
;0.459375;;;;0.459375;1;3;2;4;3
;0.25;;;;0.25;1;3;2;4;3
0.84;0.84;0.63;0.42;;;;3;2;4;3
;0.875;;;;0.875;1;3;3;3;3
;0.625;;;;0.625;1;3;3;3;3
;0.4375;;;;0.4375;1;3;3;3;3
;1.0;;;;1.0;1;3;3;3;3
;0.975;;;;0.975;1;3;3;3;3
;0.4;;;;0.4;1;3;3;3;3
0.15;0.5;;0.3;;0.5;1;3;3;3;3
;0.7875;;;;0.7875;1;3;3;3;3
;0.78125;;;;0.78125;1;3;3;3;3
;0.7770833333333333;;;;0.7770833333333333;1;3;3;3;3
;0.625;;;;0.625;1;3;3;3;3
;0.625;;;;0.625;1;3;3;3;3
;0.946875;;;;0.946875;1;3;3;3;3
;1.0;;;;1.0;1;3;3;3;3
0.42;0.42;;;;;;3;3;3;3
0.2625;;;0.525;;-0.525;-1;3;3;3;3
0.348;0.6768;0.232;0.232;0.232;0.3288;;3;3;3;3
;0.9875;;;;0.9875;1;3;3;3;3
0.20833333333333334;0.56;;;;0.3516666666666667;;3;3;3;3
;1.0;;;;1.0;1;3;3;3;3
;0.9625;;;;0.9625;1;2;1;3;2
;;;;;;;2;1;3;2
;;;;;;;2;1;3;2
;;;;;;;2;1;3;2
;0.65625;;;;0.65625;1;2;1;3;2
;;;;;;;2;1;3;2
;0.525;;;;0.525;1;2;1;3;2
;0.2625;;;;0.2625;1;2;1;3;2
;0.525;;;;0.525;1;2;1;3;2
;0.7;;;;0.7;1;2;1;3;2
;1.0;;;;1.0;1;2;1;3;2
;0.675;;;;0.675;1;2;1;3;2
;0.9375;;;;0.9375;1;2;1;3;2
;1.0;;;;1.0;1;2;1;3;2
0.21;0.42;;;;0.21;;2;1;3;2
;0.525;;;;0.525;1;2;1;3;2
;0.525;;;;0.525;1;2;1;3;2
0.35;0.49;;;;0.14;;2;1;3;2
;0.75;;;;0.75;1;2;4;3;3
;;;;;;;2;4;3;3
;0.525;;;;0.525;1;2;4;3;3
;0.525;;;;0.525;1;2;4;3;3
;0.525;;;;0.525;1;2;4;3;3
;0.2625;;;;0.2625;1;2;4;3;3
;0.2625;;;;0.2625;1;2;4;3;3
;0.5;;;;0.5;1;2;4;3;3
;;;;;;;2;4;3;3
;;;;;;;2;4;3;3
;;;;;;;2;4;3;3
;;;;;;;3;2;3;2
;;;;;;;3;2;3;2
;;;;;;;3;2;3;2
;;;;;;;3;2;3;2
;;;;;;;3;2;3;2
;;;;;;;3;2;3;2
;;;;;;;3;2;3;2
;0.525;;;;0.525;1;3;2;3;2
;0.2625;;;;0.2625;1;3;2;3;2
;0.26964285714285713;;;;0.26964285714285713;1;3;2;3;2
;1.0;;;;1.0;1;3;2;3;2
;0.525;;;;0.525;1;3;2;3;2
;;;;;;;3;2;3;2
0.2;0.2;0.2;;;;;3;2;3;2
;1.0;;;;1.0;1;3;2;3;2
;;;;;;;3;2;3;2
;0.3659090909090909;;;;0.3659090909090909;1;3;2;3;2
;0.2625;;;;0.2625;1;3;2;3;2
;;;;;;;3;2;3;2
;0.459375;;;;0.459375;1;3;2;3;2
0.21;0.525;0.21;;;0.315;;3;2;3;2
1.0;;1.0;1.0;0.525;-1.0;-1;3;2;3;2
;0.65625;;;;0.65625;1;3;2;3;2
0.4125;;0.4125;0.4125;0.4125;-0.4125;-1;3;2;3;2
0.39375;;0.39375;0.39375;0.39375;-0.39375;-1;3;2;3;2
;1.0;;;;1.0;1;3;2;3;2
;0.525;;;;0.525;1;3;2;3;2
;0.525;;;;0.525;1;3;2;3;2
;;;;;;;3;2;3;2
;1.0;;;;1.0;1;3;2;3;2
;0.2625;;;;0.2625;1;3;2;3;2
;1.0;;;;1.0;1;3;2;3;2
0.9375;;;0.9375;0.625;-0.9375;-1;3;2;3;2
0.7875;;;;;-0.7875;-1;4;3;3;3
;1.0;;;;1.0;1;2;1;2;2
;0.91875;;;;0.91875;1;2;1;2;2
;0.9625;;;;0.9625;1;2;1;2;2
;0.703125;;;;0.703125;1;2;1;2;2
;0.9375;;;;0.9375;1;2;1;2;2
;;;;;;;2;1;2;2
;1.0;;;;1.0;1;2;1;2;2
;0.525;;;;0.525;1;2;1;2;2
;0.825;;;;0.825;1;2;1;2;2
;0.525;;;;0.525;1;2;1;2;2
;0.7625;;;;0.7625;1;2;1;2;2
;;;;;;;2;1;2;2
;1.0;;;;1.0;1;2;1;2;2
;0.6791666666666667;;;;0.6791666666666667;1;2;1;2;2
;1.0;;;;1.0;1;2;1;2;2
0.45335416666666667;0.5537861111111111;0.14883333333333335;;;0.4335;1;4;3;3;3
;0.65625;;;;0.65625;1;4;3;3;3
0.145;0.7166666666666667;0.145;;0.145;0.5958333333333333;1;4;3;3;3
;1.0;;;;1.0;1;4;3;3;3
;0.984375;;;;0.984375;1;4;3;3;3
;1.0;;;;1.0;1;4;3;3;3
;0.65625;;;;0.65625;1;4;3;3;3
0.26125;0.6500833333333333;;0.78375;0.78375;-0.13366666666666666;;5;4;4;4
0.230625;0.984375;0.1528125;0.155625;0.1528125;0.5677083333333334;1;2;2;3;3
;0.7875;;;;0.7875;1;2;2;3;3
0.2625;;;;;-0.2625;-1;2;2;3;3
0.2625;;;;;-0.2625;-1;2;2;3;3
0.145;0.6458333333333334;0.145;;0.145;0.4041666666666667;;2;2;3;3
;0.5578125;;;;0.5578125;1;2;2;3;3
;0.9625;;;;0.9625;1;2;2;3;3
;0.525;;;;0.525;1;2;2;3;3
;0.525;;;;0.525;1;2;2;3;3
;1.0;;;;1.0;1;2;2;3;3
;0.625;;;;0.625;1;2;2;3;3
0.15;0.4708333333333333;0.15;0.15;0.15;0.3875;1;2;2;3;3
;0.590625;;;;0.590625;1;2;2;3;3
;1.0;;;;1.0;1;2;2;3;3
;0.7875;;;;0.7875;1;2;2;3;3
;0.7875;;;;0.7875;1;2;2;3;3
;1.0;;;;1.0;1;2;2;3;3
;0.93671875;;;;0.93671875;1;2;2;3;3
;1.0;;;;1.0;1;2;2;3;3
;;;;;;;2;2;3;3
;1.0;;;;1.0;1;2;2;3;2
;;;;;;;2;2;3;2
0.285;0.525;0.1425;;;0.39375;1;2;2;3;2
;0.525;;;;0.525;1;2;2;3;2
;0.2625;;;;0.2625;1;2;2;3;2
;0.39375;;;;0.39375;1;2;2;3;2
;0.6125;;;;0.6125;1;2;2;3;2
;0.8875;;;;0.8875;1;2;2;3;2
0.3076;0.48076;;;;0.36025;1;2;2;3;2
;;;;;;;2;2;3;2
;;;;;;;2;2;3;2
;0.7875;;;;0.7875;1;2;2;3;2
;0.9375;;;;0.9375;1;2;2;3;2
;0.625;;;;0.625;1;2;2;3;2
;;;;;;;2;2;3;2
;0.525;;;;0.525;1;2;2;3;2
;0.9;;;;0.9;1;2;2;3;2
;1.0;;;;1.0;1;2;2;3;2
;1.0;;;;1.0;1;2;2;3;2
;;;;;;;2;2;3;2
;0.525;;;;0.525;1;1;2;3;3
;;;;;;;1;2;3;3
0.4;0.6;;;;0.8;;1;2;3;3
;1.0;;;;1.0;1;1;2;3;3
;;;;;;;1;2;3;3
;0.35;;;;0.35;1;1;2;3;3
;;;;;;;1;2;3;3
;0.625;;;;0.625;1;1;2;3;3
;0.8625;;;;0.8625;1;1;2;3;3
;0.7875;;;;0.7875;1;1;2;3;3
;1.0;;;;1.0;1;1;2;3;3
;0.39375;;;;0.39375;1;1;2;3;3
;;;;;;;1;2;3;3
;1.0;;;;1.0;1;1;2;3;3
;1.0;;;;1.0;1;1;2;3;3
;0.65625;;;;0.65625;1;1;2;3;3
;0.625;;;;0.625;1;1;2;3;3
;0.4166666666666667;;;;0.4166666666666667;1;1;2;3;3
;;;;;;;1;2;3;3
;1.0;;;;1.0;1;4;3;3;2
;0.9;;;;0.9;1;4;3;3;2
;1.0;;;;1.0;1;4;3;3;2
;0.93125;;;;0.93125;1;4;3;3;2
;;;;;;;4;3;3;2
;;;;;;;4;3;3;2
;1.0;;;;1.0;1;4;3;3;2
;1.0;;;;1.0;1;4;3;3;2
;0.6375;;;;0.6375;1;4;3;3;2
;;;;;;;4;3;3;2
;0.2625;;;;0.2625;1;4;3;3;2
;0.6791666666666667;;;;0.6791666666666667;1;4;3;3;2
;0.3272058823529412;;;;0.3272058823529412;1;4;3;3;2
;1.0;;;;1.0;1;4;3;3;2
;0.9625;;;;0.9625;1;4;3;3;2
0.7875;;0.525;0.2625;0.525;-1.0;-1;4;3;3;2
;;;;;;;4;3;3;2
0.2625;;;;;-0.2625;-1;4;3;3;2
;0.525;;;;0.525;1;4;3;3;2
;;;;;;;4;3;3;2
;0.2625;;;;0.2625;1;4;4;3;3
;0.2625;;;;0.2625;1;4;4;3;3
;0.91875;;;;0.91875;1;4;4;3;3
;;;;;;;3;4;3;2
;0.8083333333333333;;;;0.8083333333333333;1;3;4;3;2
;0.7875;;;;0.7875;1;3;4;3;2
;1.0;;;;1.0;1;3;4;3;2
;0.65625;;;;0.65625;1;3;4;3;2
